Model,Accuracy,Recall,F1-Score,ROC-AUC
Logistic Regression (Balanced),0.7388218594748048,0.7834224598930482,0.6142557651991615,0.8417189800821514
SVM (Balanced),0.7466288147622427,0.7807486631016043,0.620616365568544,0.8249761037484823
AdaBoost,0.7374024130589071,0.7727272727272727,0.609704641350211,0.8333191247513497
Gradient Boosting,0.7501774308019872,0.7620320855614974,0.6182212581344902,0.8410072592937043
HistGradientBoosting,0.7615330021291696,0.7192513368983957,0.6155606407322655,0.8265119222919733
KNN,0.7125621007806955,0.7058823529411765,0.5659163987138264,0.7679686894520654
XGBoost,0.7579843860894251,0.679144385026738,0.5983510011778563,0.8044821617711643
Random Forest (Balanced),0.794889992902768,0.5,0.5641025641025641,0.8252253997778294
